Авторы,Идентификатор автора(ов),Название,Год,Название источника,Цитирования,Ссылка,Краткое описание,Ключевые слова автора,Ключевые слова указателя,Язык оригинального документа,Тип документа,Источник,EID
"Demirović D., Radovanović M., Petrović M.D., Cimbaljević M., Vuksanović N., Vuković D.B.",57193745282;36857692600;55969420600;57194635648;57200119794;57031563800;,Environmental and community stability of a mountain destination: An analysis of residents' perception,2017,Sustainability (Switzerland),3.0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85039776635&doi=10.3390%2fsu10010070&partnerID=40&md5=7e3e1ff702027207aa789023a36932bc,"This study aims to explore the use of the social-ecological system (SES) in tourism of a mountain area. Authors examined residents' perceptions of tourism impacts on four SES aspects: ecosystems, local knowledge, people and technology and property rights institutions. The aim is to find area that will be a ""common ground"" for community and area that can be a source of conflict and will require additional work to solve the differences. Second objective was to examine residents' perception towards future local development tourism policies (winter tourism, seasonality and environment and culture) and how those policies can affect natural, socio-economic and cultural aspects of mountain area. Residents' perceptions of sustainable tourism development potential, perceived tourism impacts, analysis of community attachment and employment sector of stakeholder were involved in this study. The authors applied the Q-methodology, as one SES-allied approach, in a small mountain community of Kopaonik, the Republic of Serbia. The results revealed that residents' agreement/disagreement is connected with two aspects: ecosystem and property rights and that ecosystem can be significantly influenced by all three development policies. Findings suggest that development of future natural conservation plans and new cultural attractions can have positive effects on all parts of social-ecological system. Some practical implications of those findings for tourism planning and development are also discussed. © 2017 by the authors.",Mountain; Residents' perception; Social-ecological system; Sustainability; Sustainable ecology; Sustainable tourism; Tourism impact; Tourism policies,anthropogenic effect; ecotourism; mountain region; perception; policy development; property rights; seasonality; stakeholder; sustainability; tourism development; tourism economics; tourist destination; traditional knowledge; Kopaonik; Serbia,English,Article,Scopus,2-s2.0-85039776635
"Petrović M.D., Vujko A., Gajić T., Vuković D.B., Radovanović M., Jovanović J.M., Vuković N.",55969420600;56035659800;54419977600;57031563800;36857692600;57194089723;57110136500;,Tourism as an approach to sustainable rural development in post-socialist countries: A comparative study of Serbia and Slovenia,2017,Sustainability (Switzerland),6.0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85039776102&doi=10.3390%2fsu10010054&partnerID=40&md5=382fae6c1fe6cf220135202e3dc0d5cb,"The research deals with the sustainable development of the Serbian and Slovenian countryside, under the influence of tourism progress. The article identifies the main rural tourism competitiveness in Serbia and Slovenia, as one of the essential factors of rural development in both countries, analyzing the main contributions and making a series of proposals to guide the future research agenda. The aim of the paper is to clarify around one obviously defined objective-to point out the competitiveness of sustainable rural tourism in typical post-socialist settings. The data for this study were collected using the Integrated Model of Destination Competitiveness to observe Serbian and Slovenian competitiveness in tourism. Determinants were assessed using a survey evaluating four demanding factors and 20 supporting factors, based upon a five-point Likert Scale. The results indicated that the friendliness of residents towards visitors, easy communication between them, together with quality of infrastructure and health facilities show the highest level of statistical correlation. These are the main propositions to start an initiative for the authorities in local communities to actively participate in sustainable rural development. The findings provide tourism stakeholders with relevant respondents' perceptions pertaining to the tourism development in non-urban areas. © 2017 by the authors.",Competitiveness; Countryside's development; Rural economy; Sustainable tourism; Transitional societies,comparative study; competition (economics); competitiveness; future prospect; participatory approach; research work; resident population; rural development; rural landscape; sustainable development; tourist destination; Serbia; Slovenia,English,Article,Scopus,2-s2.0-85039776102
Lipasova A.,57193121706;,Fatherhood in the Russian provinces: A theoretical and empirical analysis,2017,Zhurnal Issledovanii Sotsial'noi Politiki,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85039839258&doi=10.17323%2f727-0634-2017-15-4-629-642&partnerID=40&md5=066e2ee4b37852c6c070989c9e538b23,"The article explores gender contracts and fatherhood models that are present in families living in small Russian towns. Firstly, the key characteristics of the social groups in this research, 'potential middle class' and 'manual workers' are defined. This is followed by a review of two parental educational strategies: concerted cultivation and accomplishment of natural growth. Two theoretical explanations for gender imbalance in the division of unpaid family labour are offered. These are the economic/bargaining perspective and the gender perspective. Then, drawing on in-depth interviews with fathers and mothers from small Russian towns, the conclusion is reached that fathering practices in these families have situational character, defined by, in Bourdieu’s term, their 'habitus'. Many fathers still keep a 'low bar for fatherhood'. The less affluent families from Russian provinces do not rate their children’s opportunities for social mobility very highly, so they motivate them to be successful in sports, thus accomplishing a variant of the 'natural growth' educational strategy. The gender contract in these families can be characterized by distinct gender imbalance; many fathers still think that house work and childcare are a mother’s responsibility. Even the fathers who were labelled as 'involved' demonstrate rigid views on the preferred life trajectory of their daughters. It is noted that the degree of father’s involvement depends on the partners' negotiating the terms of their family gender contract. Traditional gender ideology and notions about gender inequality make parenthood the sole responsibility of mothers, and breadwinning the ultimate duty of fathers.",Educational strategies; Fatherhood; Gender contract; Parenthood,,English,Review,Scopus,2-s2.0-85039839258
Polukhina E.,57016670000;,Housing mobility: Approaches for sociological analysis,2017,Zhurnal Issledovanii Sotsial'noi Politiki,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85039855272&doi=10.17323%2f727-0634-2017-15-4-589-602&partnerID=40&md5=1b6d59f9f2227004bc8398df88207d5e,"This article examines housing mobility among individuals, viewing it as a dynamic process of moving to another home. The idea of studying housing experiences, housing conditions and trends is introduced as a new research direction in this paper. These data allow us to understand: (a) what kind of dynamic processes take place within the studied groups and regions; (b) how social and physical structures have changed; (c) what new meanings are emerging from this process. Housing mobility offers an optical lens that can shed light on social problems by revealing what social groups are ‘doing well’ within the existing order, and which are stagnating or in decline. The article examines the criteria for singling out housing groups, including their multi-component structure, such as housing serving as a source of income, property relations, and the characteristics of a primary housing unit. Based on the analysis of housing groups, we raise the question of drawing the boundaries for their identification. The article also touches upon some of the constraints in studying housing mobility. Firstly, it is shown inter alia that there is some ambiguity in determining housing status, and the boundaries between housing groups, and the bearer of the housing status can be blurry (family or individual). Secondly, the problem of sampling (general population) was also revealed. Where should the priority be in achieving a representative sample? Should the focus be on the types of dwellings, who lives there (families, individuals) or the lifestyles of those living there? Thirdly, this article shows that it is methodologically challenging to survey the most ‘mobile’ and resourceful groups within housing. Not only do they live in hard-to-reach houses and buildings 'guarded' by concierges, these 'mobile' people are rarely at home. Therefore, these groups are hard to include in household surveys, and various methods of data collection and tracing techniques have to be used to reach them. Fourthly, the types of housing scales used are fragmented and empirically rootless. An adequate methodological solution may be found by working with local communities, be they small towns, districts, or villages. The article also focuses on the importance of integrating qualitative methods, which help discover the changes in the meanings, and quantitative methods, which show the scale and dynamics of housing mobility.",Housing mobility; Housing status; Social mobility; Types of housing,,Russian,Review,Scopus,2-s2.0-85039855272
"Cherkasova V., Rasadi D.",57189233075;57201697817;,Earnings Quality and Investment Efficiency: Evidence from Eastern Europe,2017,Review of Economic Perspectives,1.0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85045843509&doi=10.1515%2frevecp-2017-0023&partnerID=40&md5=6d6170988f48169e3c7dbf87f48ef2b2,"This study explores the firm-level relationship between earnings quality and investment efficiency. Higher quality of reported results has the capacity to positively impact the efficiency of company's investment levels by over- and underinvestment reduction. The research is carried out on the sample of 7546 companies from Eastern Europe for the period 2010-2015. Eastern European countries have a unique institutional and business environment that is relevant to the purpose of this paper. We divide the sample into 2 fundamentally different economic sectors - industrial and retail - and test the significance of each factor in the main relationship. We also examine the factor of the firm's ownership form by comparing earnings quality with investment efficiency values between public and private companies. Our main results show that a higher earnings quality mitigates both overinvestment and underinvestment issues. The relationship between earnings quality and underinvestment turns out to be stronger in the industrial sector. As for the comparison of public and private firms, public companies on average demonstrate a higher earnings quality and lower overinvestment issues. © 2017 by Victoria Cherkasova.",Earnings quality; financial reporting quality; investment efficiency; overinvestment; underinvestment,,English,Review,Scopus,2-s2.0-85045843509
"Grünthal R., Nichols J.",36717553400;7201486156;,Transitivizing-detransitivizing typology and language family history,2017,Lingua Posnaniensis,1.0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85042082497&doi=10.1515%2flinpo-2016-0008&partnerID=40&md5=598f96fc48348700fe0a4c86fec3b242,"The transitivizing/detransitivizing typology of Nichols et al. 2004 also proves useful to historical linguistics. We focus on language families of northern Eurasia, chiefly the three oldest families (Indo-European, Uralic, Nakh-Daghestanian), some of their daughter branches aged about 2000-3000 years, and one younger family for which we have data on enough daughters to support a family phylogeny (Tungusic). We use the 18-pair wordlist of Nichols et al. 2004, which typologizes each pair of verbs depending on which of the two is derived. We make some improvements in the coding of grammatical properties and the typologization of pairs. NeighborNet trees based on this information reveal family-wide linguistic geography and areal trends. Adding minimal information about the cognacy or non-cognacy of the roots of the wordlist items produces Neighbor- Net trees which approximate well the known phylogeny of the family. Thus very small closed data sets, collected originally for typology, yield rich information about language family history - strikingly, a mere 18 verbs (9 pairs), coded for morphological type and cognacy, yield a very good genealogical tree - while historical methods have also improved the typology. © by Riho Grünthal 2018.",causative; phylogeny; Slavic; transitive; Uralic,,English,Article,Scopus,2-s2.0-85042082497
"Baranov A., Burnaev E., Derkach D., Filatov A., Klyuchnikov N., Lantwin O., Ratnikov F., Ustyuzhanin A., Zaitsev A.",56045705600;15762040400;32667516700;57200106826;57200113111;57194596352;35227881400;57202562674;57191222878;,Optimising the Active Muon Shield for the SHiP Experiment at CERN,2017,Journal of Physics: Conference Series,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85039747096&doi=10.1088%2f1742-6596%2f934%2f1%2f012050&partnerID=40&md5=c65dcfa9c0a885fab5c693a61f25a9cf,"The SHiP experiment is designed to search for very weakly interacting particles beyond the Standard Model which are produced in a 400 GeV/c proton beam dump at the CERN SPS. The critical challenge for this experiment is to keep the Standard Model background level negligible. In the beam dump, around 1011 muons will be produced per second. The muon rate in the spectrometer has to be reduced by at least four orders of magnitude to avoid muoninduced backgrounds. It is demonstrated that new improved active muon shield may be used to magnetically deflect the muons out of the acceptance of the spectrometer. © Published under licence by IOP Publishing Ltd.",,Astrophysics; Ships; Spectrometers; Background level; Beam dump; Critical challenges; Interacting particles; Orders of magnitude; Ship experiments; The standard model; Charged particles,English,Conference Paper,Scopus,2-s2.0-85039747096
"Hyman L.M., Koptjevskaja-Tamm M., Lahiri A., Nichols J.",15026590600;26035387200;7102451078;7201486156;,The unabashed typologist: A Frans Plank Schubertiade: Prefac,2017,Linguistic Typology,1.0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85039156183&doi=10.1515%2flingty-2017-1000&partnerID=40&md5=2486f300f54b885857c7a99cb4817213,[краткое описание не найдено],,,English,Editorial,Scopus,2-s2.0-85039156183
"Pino M., Kravtsov V.E., Altshuler B.L., Ioffe L.B.",56956536000;7102485510;7005569318;7004567667;,Multifractal metal in a disordered Josephson junctions array,2017,Physical Review B,5.0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85039441558&doi=10.1103%2fPhysRevB.96.214205&partnerID=40&md5=6ce66895db544ed4ff651884087918fe,"We report the results of the numerical study of the nondissipative quantum Josephson junction chain with the focus on the statistics of many-body wave functions and local energy spectra. The disorder in this chain is due to the random offset charges. This chain is one of the simplest physical systems to study many-body localization. We show that the system may exhibit three distinct regimes: insulating, characterized by the full localization of many-body wave functions, a fully delocalized (metallic) one characterized by the wave functions that take all the available phase volume, and the intermediate regime in which the volume taken by the wave function scales as a nontrivial power of the full Hilbert-space volume. In the intermediate nonergodic regime the Thouless conductance (generalized to the many-body problem) does not change as a function of the chain length indicating a failure of the conventional single-parameter scaling theory of localization transition. The local spectra in this regime display the fractal structure in the energy space which is related with the fractal structure of wave functions in the Hilbert space. A simple theory of fractality of local spectra is proposed, and a scaling relationship between fractal dimensions in the Hilbert and energy spaces is suggested and numerically tested. © 2017 American Physical Society.",,,English,Article,Scopus,2-s2.0-85039441558
"Mosleh A., Mikhaylovskaya A., Kotov A., Pourcelot T., Aksenov S., Kwame J., Portnoy V.",57192311969;36504555400;55356096100;57196031377;15080694300;57196034417;7005646840;,Modelling of the superplastic deformation of the near-a titanium alloy (Ti-2.5AL-1.8MN) using arrhenius-type constitutive model and artificial neural network,2017,Metals,11.0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85038438509&doi=10.3390%2fmet7120568&partnerID=40&md5=166779ddb56754b90aa4c900e796dcfa,"The paper focuses on developing constitutive models for superplastic deformation behaviour of near-α titanium alloy (Ti-2.5Al-1.8Mn) at elevated temperatures in a range from 840 to 890 °C and in a strain rate range from 2 × 10−4 to 8 × 10−4 s−1. Stress–strain experimental tensile tests data were used to develop the mathematical models. Both, hyperbolic sine Arrhenius-type constitutive model and artificial neural-network model were constructed. A comparative study on the competence of the developed models to predict the superplastic deformation behaviour of this alloy was made. The fitting results suggest that the artificial neural-network model has higher accuracy and is more efficient in fitting the superplastic deformation flow behaviour of near-αTitanium alloy (Ti-2.5Al-1.8Mn) at superplastic forming than the Arrhenius-type constitutive model. However, the tested results revealed that the error for the artificial neural-network is higher than the case of Arrhenius-type constitutive model for predicting the unmodelled conditions. © 2017 by the authors. Licensee MDPI, Basel, Switzerland.",Activation energy; Arrhenius-type constitutive equation; Artificial neural network; Constitutive modelling; Superplasticity; Titanium alloys,,English,Article,Scopus,2-s2.0-85038438509
